;figi;ticker;share_name;datetime;last_price;rsi_float;sell_flag;buy_flag;strategy_id;profit;currency
0;BBG000BH0FR6;SGEN;Seagen Inc.;2022-06-22 13:59:22.344256;174.99;79.585;1;0;rsi;0;usd
1;BBG000BQHGR6;OKE;ONEOK;2022-06-22 13:59:22.433256;55.15;29.6752;0;1;rsi;0;usd
2;BBG000G7CDN9;WMS;Advanced Drainage Systems;2022-06-22 13:59:22.497256;83.45;29.5367;0;1;rsi;0;usd
3;BBG000BLMTR3;PUM@DE;PUMA SE;2022-06-22 13:59:22.521253;74.0;15.7161;0;1;rsi;0;eur
4;BBG000BG3445;COO;The Cooper Companies;2022-06-22 13:59:22.596268;302.69;26.7328;0;1;rsi;0;usd
5;BBG000BNNKG9;MAS;Masco;2022-06-22 13:59:22.671254;47.3;27.1089;0;1;rsi;0;usd
6;BBG000DWG505;BRK.B;Berkshire Hathaway;2022-06-22 13:59:22.749349;271.93;27.0924;0;1;rsi;0;usd
7;BBG0022FMPD5;EVBG;Everbridge Inc;2022-06-22 13:59:22.792255;28.94;29.6127;0;1;rsi;0;usd
8;BBG000BWHD54;VNO;Vornado REIT;2022-06-22 13:59:22.852254;28.27;26.7193;0;1;rsi;0;usd
9;BBG000CSZKR2;MBT;АДР МТС;2022-06-22 13:59:22.999252;4.2;18.2897;0;1;rsi;0;usd
10;BBG000BS5CM9;BXP;Boston Properties REIT;2022-06-22 13:59:23.045254;89.96;25.9312;0;1;rsi;0;usd
11;BBG000C2YHG9;DISH;DISH Network Corp;2022-06-22 13:59:23.084252;16.57;23.8775;0;1;rsi;0;usd
12;BBG001LFLZZ1;BRX;Brixmor Property Group REIT;2022-06-22 13:59:23.147254;19.55;27.9238;0;1;rsi;0;usd
13;BBG000BQ87N0;ES;Eversource Energy;2022-06-22 13:59:23.190251;78.5;22.5853;0;1;rsi;0;usd
14;BBG000D7HF89;SON;Sonoco Products Co;2022-06-22 13:59:23.269249;52.17;29.141;0;1;rsi;0;usd
15;BBG000RMWQD4;ENPG;En+ Group;2022-06-22 13:59:23.305249;518.0;25.0302;0;1;rsi;0;rub
16;BBG000BB5792;RCL;Royal Caribbean Cruises;2022-06-22 13:59:23.324252;37.12;24.8902;0;1;rsi;0;usd
17;BBG00W9LF2G5;PRAX;Praxis Precision Medicines;2022-06-22 13:59:23.414251;2.1;26.2589;0;1;rsi;0;usd
18;BBG000GZYVY1;JACK;Jack in the Box;2022-06-22 13:59:23.510249;60.0;29.5043;0;1;rsi;0;usd
19;BBG000BBZBV5;CON@DE;Continental AG;2022-06-22 13:59:23.527250;66.67;24.5151;0;1;rsi;0;eur
20;BBG000QY3XZ2;EXPE;Expedia;2022-06-22 13:59:23.567250;98.5;29.1051;0;1;rsi;0;usd
21;BBG001HRFJG4;ZEN;Zendesk Inc;2022-06-22 13:59:23.588250;56.79;22.5739;0;1;rsi;0;usd
22;BBG000F4F1N0;MTH;Meritage Homes Corp;2022-06-22 13:59:23.654250;65.1;24.2821;0;1;rsi;0;usd
23;BBG000VDC3G9;ZGNX;Zogenix Inc;2022-06-22 13:59:23.722251;26.68;76.3252;1;0;rsi;0;usd
24;BBG000Q1NMJ4;NWE;NorthWestern Corporation;2022-06-22 13:59:23.765278;54.93;29.8252;0;1;rsi;0;usd
25;BBG000VC0T95;WDAY;Workday Inc;2022-06-22 13:59:23.797279;138.0;29.8536;0;1;rsi;0;usd
26;BBG000BBZW12;DBK@DE;Deutsche Bank AG;2022-06-22 13:59:23.815249;10.69;26.7751;0;1;rsi;0;eur
27;BBG00KHGQ0H4;HHR;HeadHunter Group PLC;2022-06-22 13:59:23.872250;15.3;18.8587;0;1;rsi;0;usd
28;BBG0035LY913;NWSA;News Corp (A);2022-06-22 13:59:24.012248;15.22;29.4207;0;1;rsi;0;usd
29;BBG00MJDR6J9;LEGH;Legacy Housing Corp;2022-06-22 13:59:24.064248;12.96;29.6161;0;1;rsi;0;usd
30;BBG000NN8497;LKOD@GS;LUKOIL PJSC;2022-06-22 13:59:24.137247;50.62;26.9599;0;1;rsi;0;usd
31;BBG000BWNFZ9;WDC;Western Digital;2022-06-22 13:59:24.164246;46.3;29.4189;0;1;rsi;0;usd
32;BBG000BT5PG5;SMG;Scotts Miracle-Gro Co The;2022-06-22 13:59:24.224249;76.72;28.7005;0;1;rsi;0;usd
33;BBG000BQZMH4;PEG;Public Service Enterprise Group;2022-06-22 13:59:24.249272;59.64;22.6562;0;1;rsi;0;usd
34;BBG009Q036D0;GMS;GMS Inc;2022-06-22 13:59:24.355245;39.9;28.6145;0;1;rsi;0;usd
35;BBG000BFRF55;CLF;Cleveland-Cliffs;2022-06-22 13:59:24.404245;16.97;28.6231;0;1;rsi;0;usd
36;BBG003LYCMB1;SFIN;ЭсЭфАй;2022-06-22 13:59:24.448245;557.8;71.9417;1;0;rsi;0;rub
