;amount_of_sma_rows
BBG000HLJ7M4;2432
BBG002293PJ4;2222
BBG000BH0FR6;2428
BBG004MN1R41;1857
BBG000BWS3F3;2432
BBG00Y3XYV94;188
BBG006KDCHJ4;0
BBG000BS5DR2;2431
BBG000BDHD29;462
BBG00ZHCX1X2;106
BBG001R72SR9;507
BBG000BFDLV8;2419
BBG00YQ82275;52
BBG002WMH2F2;225
BBG000D42FJ0;0
BBG000BMWKC5;2432
BBG000BQHGR6;2432
BBG000BNSZP1;2433
BBG000BHJSC4;2432
BBG000BXK6C5;0
BBG005YHY0Q7;1861
BBG00FH3FM15;642
BBG00G4Y2DC1;1099
BBG000BXQ7R1;2425
BBG000LJS6B8;2432
BBG002R1CW27;2421
BBG000BWSV34;2431
BBG000G7CDN9;0
BBG00HCY3Q67;827
BBG000BLMTR3;59
BBG004730JJ5;2185
BBG000BB6KF5;2432
BBG000QY4ZD0;462
BBG000BTNGZ4;2432
BBG000BR2B91;2450
BBG000CQCCK6;276
BBG0113JGQF0;2424
BBG000PN9NB9;462
BBG000QBR5J5;2432
BBG00629NGT2;1238
BBG000FJH8W0;324
BBG000BJ81C1;2432
BBG000DW76Y6;2431
BBG000BG3445;2432
BBG000HN7W02;451
BBG002PHSYX9;2235
BBG000BHLYP4;2432
BBG000BTCH57;2432
BBG000BLY663;524
BBG0015XMW40;0
BBG000HXJB21;2432
BBG000VKG4R5;2392
BBG000QGWY50;2066
BBG007GNPYY7;1557
BBG000BPD168;2444
BBG000BHLYS1;2432
BBG000BNNKG9;2432
BBG000TJM7F0;770
BBG000DD3KP1;276
BBG000M1R011;2308
BBG000BDNV95;326
BBG000Q1KFH4;462
BBG00ZGF7771;98
BBG000HD3DW5;326
BBG006MDLY05;1617
BBG002WLDMW5;85
BBG000K3BC83;2432
BBG000TJ6F42;2413
BBG001Z0Q6T5;460
BBG000DWG505;828
BBG000Q7GG57;2415
BBG0064N0ZZ5;1860
BBG000HS77T5;2432
BBG000BJQK11;360
BBG000C4SKT1;2432
BBG0022FMPD5;462
BBG007KGRPY4;0
BBG0029SFXB3;2212
BBG000GXZ4W7;2432
BBG000BS1YV5;2287
BBG000CHPMY5;2432
BBG00BTK1DT8;276
BBG000HT5MG6;462
BBG000BWXBC2;2433
BBG000GQPB11;2432
BBG000BWHD54;2432
BBG0059KNH10;364
BBG000BKGXQ4;276
BBG000BMDBZ1;2432
BBG00W7FG4V8;0
BBG000BR7PK2;59
BBG000BH5DV1;2432
BBG000DPKKK0;326
BBG000N26V95;65
BBG001QD41M9;2432
BBG00S4VMQT2;0
BBG00L0YTFN8;462
BBG000BP3PW7;276
BBG000BLH3P8;462
BBG000HCXFS4;2430
BBG000BKQDQ7;2431
BBG001V9NSB4;2128
BBG000QDJT53;2432
BBG000BCBYT2;519
BBG000BNDN65;2432
BBG000CBMH27;462
BBG001J1QN87;276
BBG000C1HN22;326
BBG003D4V951;0
BBG00209SZJ7;462
BBG000N9MNX3;2461
BBG000BL0P40;185
BBG000DV7MX4;2432
BBG000GQJPZ0;2429
BBG000CSZKR2;2358
BBG000BFS7D3;2432
BBG000BW6P59;2432
BBG000DGLTG5;2432
BBG000BFC848;2431
BBG0136WM1M4;0
BBG000BWNV93;326
BBG000BS5CM9;2432
BBG000D7JKW9;2424
BBG001NFKJ68;1691
BBG0043BYPB8;603
BBG00KHHBMC5;276
BBG000C2YHG9;186
BBG002VZ68Y2;186
BBG005DXJS36;1945
BBG000BY2Y78;2432
BBG000BRXP69;2429
BBG000C1XKF6;324
BBG000FFC0B3;326
BBG00KR691K8;649
BBG006L8G4H1;1849
BBG000F9XKN7;65
BBG001LFLZZ1;186
BBG000QM0RZ4;2432
BBG000BR2040;1872
BBG004S641N5;1993
BBG000DW4Q75;2432
BBG000JLC8L8;2432
BBG00YTS96G2;2428
BBG000BQ87N0;2432
BBG000C19QW1;2430
BBG000BKXYX5;2430
BBG000BQ74K1;2432
BBG00D0Y81M1;2430
BBG000P458P3;326
BBG000C30L48;325
BBG004730ZJ9;2479
BBG00LPTHYD5;583
BBG000F02T51;323
BBG00FQ8T4G3;185
BBG000C4HKK2;2432
BBG0042V6JM8;524
BBG000BB07P9;28
