;figi;ticker;share_name;datetime;last_price;rsi_float;buy_flag;strategy_id;profit;currency;country
0;BBG000FR1RP5;ADS@DE;Adidas;2022-07-15 00:00:00.000000;;23.1;1;rsi;0;eur;DE
1;BBG00VPKLPX4;POGR;Petropavlovsk PLC;2022-07-15 00:00:00.000000;3.78;14.65;1;rsi;0;rub;RU
2;BBG004S68507;MAGN;Магнитогорский металлургический комбинат;2022-07-15 00:00:00.000000;27.495;23.4;1;rsi;0;rub;RU
3;BBG000BBZBV5;CON@DE;Continental AG;2022-07-15 00:00:00.000000;;28.9;1;rsi;0;eur;DE
4;BBG002B9T6Y1;KAZTP;КуйбышевАзот - Акции привилегированные;2022-07-15 00:00:00.000000;384.4;32.56;1;rsi;0;rub;RU
5;BBG000VKG4R5;MRKU;МРСК Урала;2022-07-15 00:00:00.000000;0.1426;19.37;1;rsi;0;rub;RU
6;BBG010R8C3Y4;GRUB;АДР Just Eat Takeaway.com N.V.;2022-07-15 00:00:00.000000;;17.91;1;rsi;0;usd;US
7;BBG000H8LGK2;MD;Pediatrix Medical Group;2022-07-15 00:00:00.000000;23.65;72.46;0;rsi;0;usd;US
8;BBG000QQCY41;2007;Country Garden Holdings;2022-07-15 00:00:00.000000;3.3;21.29;1;rsi;0;hkd;CN
9;BBG00225ZDD0;CDLX;Cardlytics Inc;2022-07-15 00:00:00.000000;13.73;22.33;1;rsi;0;usd;US
10;BBG004730RP0;GAZP;Газпром;2022-07-15 00:00:00.000000;187.61;25.14;1;rsi;0;rub;RU
11;BBG004SK5VL9;FIGS;FIGS;2022-07-15 00:00:00.000000;9.65;63.36;0;rsi;0;usd;US
12;BBG000GMGNB3;ROLL;RBC Bearings Inc;2022-07-15 00:00:00.000000;211.59;76.32;0;rsi;0;usd;US
13;BBG00K4MPP27;VNE;Veoneer Inc;2022-07-15 00:00:00.000000;;83.58;0;rsi;0;usd;SE
14;BBG000BW7X97;UTL;Unitil Corporation;2022-07-15 00:00:00.000000;59.82;72.77;0;rsi;0;usd;US
15;BBG00JN4FXG8;SLDB;Solid Biosciences;2022-07-15 00:00:00.000000;0.69;69.75;0;rsi;0;usd;US
16;BBG000BLMTR3;PUM@DE;PUMA SE;2022-07-15 00:00:00.000000;;16.73;1;rsi;0;eur;DE
17;BBG000C8L273;IFX@DE;Infineon Technologies AG;2022-07-15 00:00:00.000000;;32.25;1;rsi;0;eur;DE
18;BBG004HXD0G8;GNL;Global Net Lease REIT;2022-07-15 00:00:00.000000;14.62;67.14;0;rsi;0;usd;US
19;BBG000BD1HP2;WRB;WR Berkley;2022-07-15 00:00:00.000000;63.03;34.27;1;rsi;0;usd;US
20;BBG001PD3L10;EVK@DE;Evonik Industries AG;2022-07-15 00:00:00.000000;;24.33;1;rsi;0;eur;DE
21;BBG000QT15P7;PTCT;PTC Therapeutics;2022-07-15 00:00:00.000000;43.82;69.89;0;rsi;0;usd;US
22;BBG00MVWLLM2;GOSS;Gossamer Bio Inc;2022-07-15 00:00:00.000000;11.37;75.25;0;rsi;0;usd;US
23;BBG00W9LF2G5;PRAX;Praxis Precision Medicines;2022-07-15 00:00:00.000000;3.49;63.92;0;rsi;0;usd;US
24;BBG000K88H58;FCN;FTI Consulting Inc;2022-07-15 00:00:00.000000;189.96;76.02;0;rsi;0;usd;US
25;BBG000KGYRF8;OGZD@GS;Gazprom PJSC;2022-07-15 00:00:00.000000;;35.54;1;rsi;0;usd;RU
26;BBG001VBZR00;SBER@GS;Sberbank of Russia PJSC;2022-07-15 00:00:00.000000;;28.64;1;rsi;0;usd;RU
27;BBG00W7F99V5;LCID;Lucid Group;2022-07-15 00:00:00.000000;19.64;62.82;0;rsi;0;usd;US
28;BBG000BLH3P8;HSC;Harsco Corp;2022-07-15 00:00:00.000000;5.05;21.14;1;rsi;0;usd;US
29;BBG000BCJ161;SRPT;Sarepta Therapeutics Inc;2022-07-15 00:00:00.000000;84.19;70.34;0;rsi;0;usd;US
30;BBG00P17H053;DM;Desktop Metal;2022-07-15 00:00:00.000000;2.44;60.81;0;rsi;0;usd;US
31;BBG000DS5588;SPB@US;Spectrum Brands Holdings Inc;2022-07-15 00:00:00.000000;66.9;23.72;1;rsi;0;usd;US
32;BBG00K20GVD2;BTAI;BioXcel Therapeutics;2022-07-15 00:00:00.000000;16.51;72.58;0;rsi;0;usd;US
33;BBG000VFBQG4;MGNT@GS;Magnit PJSC;2022-07-15 00:00:00.000000;;26.24;1;rsi;0;usd;RU
34;BBG000BBZW12;DBK@DE;Deutsche Bank AG;2022-07-15 00:00:00.000000;;31.84;1;rsi;0;eur;DE
35;BBG000BJQK11;FOE;Ferro Corp;2022-07-15 00:00:00.000000;;94.88;0;rsi;0;usd;US
36;BBG002458LF8;SELG;Селигдар;2022-07-15 00:00:00.000000;35.31;22.73;1;rsi;0;rub;RU
37;BBG007DLZ601;RYTM;Rhythm Pharmaceuticals Inc;2022-07-15 00:00:00.000000;9.92;80.56;0;rsi;0;usd;US
38;BBG000LNHHJ9;KMAZ;КАМАЗ;2022-07-15 00:00:00.000000;85.5;22.52;1;rsi;0;rub;RU
39;BBG000VDC3G9;ZGNX;Zogenix Inc;2022-07-15 00:00:00.000000;;84.32;0;rsi;0;usd;US
40;BBG00KXC8646;BEAM;Beam Therapeutics;2022-07-15 00:00:00.000000;57.95;68.21;0;rsi;0;usd;US
41;BBG004PYF2N3;POLY;Polymetal;2022-07-15 00:00:00.000000;310.5;20.09;1;rsi;0;rub;RU
42;BBG00KT2SCV8;GSKY;GreenSky Inc;2022-07-15 00:00:00.000000;;1.15;1;rsi;0;usd;US
43;BBG000BWT790;RHM@DE;Rheinmetall AG;2022-07-15 00:00:00.000000;;95.02;0;rsi;0;eur;DE
44;BBG000BBFBD7;ALV@DE;Allianz SE;2022-07-15 00:00:00.000000;;29.49;1;rsi;0;eur;DE
45;BBG00Z5KBW72;GDEV;Nexters Inc;2022-07-15 00:00:00.000000;;21.97;1;rsi;0;usd;US
46;BBG000RTHVK7;GCHE;Группа Черкизово;2022-07-15 00:00:00.000000;2570.0;25.86;1;rsi;0;rub;RU
47;BBG003D4V951;DUOL;Duolingo;2022-07-15 00:00:00.000000;100.0;66.89;0;rsi;0;usd;US
48;BBG000LW3NX5;DPW@DE;Deutsche Post AG;2022-07-15 00:00:00.000000;;29.6;1;rsi;0;eur;DE
49;BBG000QSXPZ9;LRN;Stride, Inc;2022-07-15 00:00:00.000000;41.76;74.77;0;rsi;0;usd;US
50;BBG00341H6M0;GBT;Global Blood Therapeutics Inc;2022-07-15 00:00:00.000000;35.99;74.61;0;rsi;0;usd;US
51;BBG00PQ4XJ45;RXRX;Recursion Pharmaceuticals, Inc.;2022-07-15 00:00:00.000000;8.29;60.14;0;rsi;0;usd;US
52;BBG000BGPQW1;CVGW;Calavo Growers Inc;2022-07-15 00:00:00.000000;43.27;72.4;0;rsi;0;usd;US
53;BBG000BCG930;ELV;Elevance Health;2022-07-15 00:00:00.000000;481.19;27.18;1;rsi;0;usd;US
54;BBG0077HPN74;ZY;Zymergen Inc.;2022-07-15 00:00:00.000000;1.92;67.04;0;rsi;0;usd;US
55;BBG000BB07P9;GOLD;Barrick Gold;2022-07-15 00:00:00.000000;15.7;24.65;1;rsi;0;usd;CA
56;BBG00LPWLFD4;FSR;Fisker;2022-07-15 00:00:00.000000;9.5;57.49;0;rsi;0;usd;US
57;BBG00DW0PN34;1COV@DE;Covestro AG;2022-07-15 00:00:00.000000;;32.91;1;rsi;0;eur;DE
58;BBG000FVZQY1;TGTX;TG Therapeutics;2022-07-15 00:00:00.000000;6.06;61.98;0;rsi;0;usd;US
59;BBG00ZSDS6T8;TSP;TuSimple Holdings;2022-07-15 00:00:00.000000;8.8;61.04;0;rsi;0;usd;US
60;BBG000BS3CD1;FRE@DE;Fresenius SE;2022-07-15 00:00:00.000000;;21.74;1;rsi;0;eur;DE
61;BBG00MS4Y0W9;BDTX;Black Diamond Therapeutics Inc;2022-07-15 00:00:00.000000;3.19;72.58;0;rsi;0;usd;US
62;BBG000BCCT76;SIE@DE;Siemens AG;2022-07-15 00:00:00.000000;;33.97;1;rsi;0;eur;DE
63;BBG003MSMCS6;GLPI;Gaming and Leisure Properties REIT;2022-07-15 00:00:00.000000;49.78;69.39;0;rsi;0;usd;US
64;BBG000BHYT80;SGMO;Sangamo Therapeutics;2022-07-15 00:00:00.000000;4.54;59.44;0;rsi;0;usd;US
65;BBG000CSZKR2;MBT;АДР МТС;2022-07-15 00:00:00.000000;;16.15;1;rsi;0;usd;RU
66;BBG000F02T51;CABO;Cable One;2022-07-15 00:00:00.000000;1376.0;70.02;0;rsi;0;usd;US
67;BBG004731489;GMKN;Норильский никель;2022-07-15 00:00:00.000000;15600.0;27.79;1;rsi;0;rub;RU
68;BBG000BX7DH0;VRSB;ТНС энерго Воронеж;2022-07-15 00:00:00.000000;149.8;19.51;1;rsi;0;rub;RU
69;BBG00FH3FM15;TCRR;TCR2 Therapeutics Inc;2022-07-15 00:00:00.000000;3.39;70.01;0;rsi;0;usd;US
70;BBG00741Y1N2;RIVN;Rivian Automotive;2022-07-15 00:00:00.000000;31.54;64.12;0;rsi;0;usd;US
71;BBG000BBVVK7;BAS@DE;BASF SE;2022-07-15 00:00:00.000000;;26.6;1;rsi;0;eur;DE
72;BBG00ZVC67K7;VTSC@DE;Vitesco Technologies Group AG;2022-07-15 00:00:00.000000;;23.03;1;rsi;0;eur;DE
73;BBG000BTYP37;AWH;Aspira Womens Health;2022-07-15 00:00:00.000000;0.88;59.27;0;rsi;0;usd;US
74;BBG000D9H9F1;MYGN;Myriad Genetics Inc;2022-07-15 00:00:00.000000;21.98;73.7;0;rsi;0;usd;US
75;BBG000BVTPQ3;MTX@DE;MTU Aero Engines AG;2022-07-15 00:00:00.000000;;69.51;0;rsi;0;eur;DE
76;BBG000BBFBD7;ALV@DE;Allianz SE;2022-07-16 00:00:00.000000;;29.49;1;rsi;0;eur;DE
77;BBG004731489;GMKN;Норильский никель;2022-07-16 00:00:00.000000;15622.0;28.21;1;rsi;0;rub;RU
78;BBG003D4V951;DUOL;Duolingo;2022-07-16 00:00:00.000000;95.0;66.89;0;rsi;0;usd;US
79;BBG00KT2SCV8;GSKY;GreenSky Inc;2022-07-16 00:00:00.000000;;1.15;1;rsi;0;usd;US
80;BBG000LW3NX5;DPW@DE;Deutsche Post AG;2022-07-16 00:00:00.000000;;29.6;1;rsi;0;eur;DE
81;BBG000VDC3G9;ZGNX;Zogenix Inc;2022-07-16 00:00:00.000000;;84.32;0;rsi;0;usd;US
82;BBG00Z5KBW72;GDEV;Nexters Inc;2022-07-16 00:00:00.000000;;21.97;1;rsi;0;usd;US
83;BBG000RTHVK7;GCHE;Группа Черкизово;2022-07-16 00:00:00.000000;2610.5;25.86;1;rsi;0;rub;RU
84;BBG00MS4Y0W9;BDTX;Black Diamond Therapeutics Inc;2022-07-16 00:00:00.000000;3.03;72.58;0;rsi;0;usd;US
85;BBG007DLZ601;RYTM;Rhythm Pharmaceuticals Inc;2022-07-16 00:00:00.000000;6.4;80.56;0;rsi;0;usd;US
86;BBG000BCCT76;SIE@DE;Siemens AG;2022-07-16 00:00:00.000000;;33.97;1;rsi;0;eur;DE
87;BBG000BWT790;RHM@DE;Rheinmetall AG;2022-07-16 00:00:00.000000;;95.02;0;rsi;0;eur;DE
88;BBG000QSXPZ9;LRN;Stride, Inc;2022-07-16 00:00:00.000000;40.33;74.77;0;rsi;0;usd;US
89;BBG00KXC8646;BEAM;Beam Therapeutics;2022-07-16 00:00:00.000000;52.87;68.21;0;rsi;0;usd;US
90;BBG00W7F99V5;LCID;Lucid Group;2022-07-16 00:00:00.000000;19.27;62.82;0;rsi;0;usd;US
91;BBG000BCJ161;SRPT;Sarepta Therapeutics Inc;2022-07-16 00:00:00.000000;78.22;70.34;0;rsi;0;usd;US
92;BBG00741Y1N2;RIVN;Rivian Automotive;2022-07-16 00:00:00.000000;30.11;64.12;0;rsi;0;usd;US
93;BBG000BLH3P8;HSC;Harsco Corp;2022-07-16 00:00:00.000000;6.02;21.14;1;rsi;0;usd;US
