;figi;ticker;share_name;datetime;last_price;sell_flag;buy_flag;strategy_id;profit;currency
0;BBG000QF1Q17;FESH;ДВМП;2012-10-15;5.395;1;0;sma;0;rub
1;BBG000BPH459;MSFT;Microsoft Corporation;2012-10-16;28.315;1;0;sma;0;usd
2;BBG000BLPBL5;AVB;AvalonBay Communities REIT;2012-10-17;132.77;1;0;sma;0;usd
3;BBG000BC4185;HA;Hawaiian Holdings Inc;2012-10-18;5.5151;1;0;sma;0;usd
4;BBG000C8H633;MRO;Marathon Oil;2012-10-18;34.78;0;1;sma;0;usd
5;BBG000NDYB67;GM;General Motors;2012-10-19;31.65;0;1;sma;0;usd
6;BBG000PRJ2Z9;SPR;Spirit AeroSystems Holdings;2012-10-19;20.7668;1;0;sma;0;usd
7;BBG000BLZRJ2;MS;Morgan Stanley;2012-10-19;23.41;0;1;sma;0;usd
8;BBG000FQ6PY6;CTXS;Citrix Systems;2012-10-19;53.001;1;0;sma;0;usd
9;BBG000BMY992;KR;Kroger;2012-10-19;17.225;0;1;sma;0;usd
10;BBG000Q4NZ54;ENV;Envestnet Inc;2012-10-22;18.74;0;1;sma;0;usd
11;BBG000BLF8D2;HRL;Hormel Foods;2012-10-22;21.03;0;1;sma;0;usd
12;BBG000BK5S78;GCO;Genesco Inc;2012-10-22;64.0;1;0;sma;0;usd
13;BBG000C2L2L0;JLL;Jones Lang LaSalle Inc;2012-10-23;94.2692;0;1;sma;0;usd
14;BBG000BBD070;HES;Hess;2012-10-24;72.22;0;1;sma;0;usd
15;BBG000BH1NH9;DE;Deere & Company;2012-10-24;92.58;0;1;sma;0;usd
16;BBG000BBL0Y1;ALK;Alaska Air Group;2012-10-24;32.735;0;1;sma;0;usd
17;BBG00KHY5S69;AVGO;Broadcom;2012-10-24;33.62;1;0;sma;0;usd
18;BBG000BKFBD7;STT;State Street;2012-10-25;63.81;0;1;sma;0;usd
19;BBG000CH5208;UNH;UnitedHealth;2012-10-25;62.14;0;1;sma;0;usd
20;BBG0016T3GQ0;VC;Visteon Corp;2012-10-25;37.1301;0;1;sma;0;usd
21;BBG000H01H92;AMCX;AMC Networks Inc;2012-10-26;66.44;0;1;sma;0;usd
22;BBG000KLB4Q1;SWKS;Skyworks Solutions;2012-10-26;23.6;1;0;sma;0;usd
23;BBG004731354;ROSN;Роснефть;2012-10-29;247.8;0;1;sma;0;rub
24;BBG00475KKY8;NVTK;НОВАТЭК;2012-10-29;311.06;1;0;sma;0;rub
25;BBG000BH3GZ2;YUM;Yum!;2012-10-31;50.4488;0;1;sma;0;usd
26;BBG000BZCKH3;MTD;Mettler Toledo;2012-10-31;220.3;0;1;sma;0;usd
27;BBG000BCMBG4;FTNT;Fortinet Inc;2012-10-31;3.79;1;0;sma;0;usd
28;BBG000BLRP41;OLED;Universal Display Corp;2012-11-02;30.9426;1;0;sma;0;usd
29;BBG000DQLV23;BMY;Bristol-Myers Squibb;2012-11-02;43.76;0;1;sma;0;usd
30;BBG000BCZBF1;SAM;Boston Beer Co Inc The;2012-11-02;152.37;0;1;sma;0;usd
31;BBG000BHLYS1;ED;Consolidated Edison;2012-11-02;59.61;1;0;sma;0;usd
32;BBG000BMNBY1;EEFT;Euronet Worldwide Inc;2012-11-02;32.48;0;1;sma;0;usd
33;BBG000DCCZW2;AGCO;AGCO Corp;2012-11-02;50.8683;0;1;sma;0;usd
34;BBG000BCWWV0;CMCO;Columbus McKinnon Corp;2012-11-05;18.852;0;1;sma;0;usd
35;BBG000BK2F42;FIS;Fidelity National Information;2012-11-05;45.24;0;1;sma;0;usd
36;BBG000LD9JQ8;WYNN;Wynn Resorts;2012-11-05;142.43;0;1;sma;0;usd
37;BBG000BT9DW0;SO;Southern;2012-11-06;45.52;1;0;sma;0;usd
38;BBG000BR37X2;PGR;Progressive;2012-11-06;25.81;0;1;sma;0;usd
39;BBG000BKQDQ7;ROCK;Gibraltar Industries Inc;2012-11-07;17.43;0;1;sma;0;usd
40;BBG000C2PW58;BLK;BlackRock;2012-11-07;283.35;0;1;sma;0;usd
41;BBG000BNPS52;TRMB;Trimble Inc;2012-11-08;27.73;0;1;sma;0;usd
42;BBG000PVGDH9;TTM;Tata Motors;2012-11-09;28.0097;0;1;sma;0;usd
43;BBG000BMDBZ1;JBHT;JB Hunt;2012-11-09;74.25;0;1;sma;0;usd
44;BBG000BFL116;FSLR;First Solar;2012-11-12;51.111;0;1;sma;0;usd
45;BBG000BQVTF5;PCAR;PACCAR;2012-11-12;53.97;0;1;sma;0;usd
46;BBG000JLC8L8;SSD;Simpson Manufacturing Co Inc;2012-11-13;26.5432;0;1;sma;0;usd
47;BBG000BRW644;EPC;Edgewell Personal Care Co;2012-11-14;67.1183;0;1;sma;0;usd
48;BBG000BBGQF1;AIR;AAR Corp;2012-11-14;19.4837;0;1;sma;0;usd
49;BBG000BHB3M6;DOV;Dover;2012-11-15;52.9171;0;1;sma;0;usd
50;BBG000BC33T9;ARE;Alexandria Real Estate Equities REIT;2012-11-15;67.89;1;0;sma;0;usd
51;BBG000BVVQQ8;TXT;Textron;2012-11-16;25.74;1;0;sma;0;usd
52;BBG000B9ZV28;AMED;Amedisys Inc;2012-11-16;11.71;1;0;sma;0;usd
53;BBG00475K6C3;CHMF;Северсталь;2012-11-19;275.1;1;0;sma;0;rub
54;BBG000BQ8KV2;NUE;Nucor;2012-11-20;44.49;0;1;sma;0;usd
55;BBG000D0FNV3;WCC;WESCO International Inc;2012-11-20;71.78;0;1;sma;0;usd
56;BBG000CM6L31;CRMT;America's Car-Mart Inc TX;2012-11-21;43.48;1;0;sma;0;usd
57;BBG0047315D0;SNGS;Сургутнефтегаз;2012-11-22;27.25;1;0;sma;0;rub
58;BBG000BGLRN3;LUMN;Lumen Technologies;2012-11-23;34.13;1;0;sma;0;usd
59;BBG000BLMDQ9;HXL;Hexcel Corp;2012-11-26;33.163;0;1;sma;0;usd
60;BBG000K4WS65;CVCO;Cavco Industries Inc;2012-11-26;47.82;0;1;sma;0;usd
61;BBG017BXPZ85;CR;Crane Holdings;2012-11-27;51.7812;0;1;sma;0;usd
62;BBG000BXMFC3;URI;United Rentals;2012-11-27;49.88;0;1;sma;0;usd
63;BBG000C7LMS8;AZO;AutoZone;2012-11-28;419.5;0;1;sma;0;usd
64;BBG004S682Z6;RTKM;Ростелеком;2012-11-28;111.36;1;0;sma;0;rub
65;BBG000R0L5J4;TDC;Teradata;2012-11-28;56.08;1;0;sma;0;usd
66;BBG000PTLGZ1;LEA;Lear Corp;2012-11-28;56.6481;0;1;sma;0;usd
67;BBG000BJD1D4;JOBS;51job;2012-11-29;32.355;0;1;sma;0;usd
68;BBG004S68CV8;VSMO;ВСМПО-АВИСМА;2012-11-30;5825.8;0;1;sma;0;rub
69;BBG000BB99S3;SLAB;Silicon Laboratories Inc;2012-11-30;42.71;0;1;sma;0;usd
70;BBG000BBCDZ2;ROK;Rockwell Automation;2012-12-03;86.88;0;1;sma;0;usd
71;BBG000BJ41X2;NSP;InsperIty Inc;2012-12-04;12.8861;0;1;sma;0;usd
72;BBG000HGYNZ9;STLD;Steel Dynamics Inc;2012-12-04;12.7514;0;1;sma;0;usd
73;BBG000BC4185;HA;Hawaiian Holdings Inc;2012-12-04;5.9641;0;1;sma;0;usd
74;BBG000BBGQF1;AIR;AAR Corp;2012-12-04;20.0396;0;1;sma;0;usd
75;BBG000BDXCJ5;CNC;Centene Corporation;2012-12-04;12.52;0;1;sma;0;usd
76;BBG000BJ0932;MCRI;Monarch Casino & Resort Inc;2012-12-05;16.87;0;1;sma;0;usd
77;BBG000BX57K1;XRAY;Dentsply Sirona;2012-12-05;40.87;0;1;sma;0;usd
78;BBG000B9XRY4;AAPL;Apple;2012-12-06;15.69;1;0;sma;0;usd
79;BBG000BRVP70;R;Ryder System;2012-12-06;58.85;0;1;sma;0;usd
80;BBG000BLCPY4;HP;Helmerich & Payne;2012-12-06;61.81;0;1;sma;0;usd
81;BBG000BQPC32;F;Ford;2012-12-07;15.28;0;1;sma;0;usd
82;BBG000BTNGZ4;OMCL;Omnicell Inc;2012-12-07;19.19;0;1;sma;0;usd
83;BBG000G1C210;OFIX;Orthofix Medical Inc;2012-12-10;26.53;1;0;sma;0;usd
84;BBG000BJF1Z8;FDX;FedEx;2012-12-10;97.19;0;1;sma;0;usd
85;BBG000BJX8C8;NOV;National Oilwell Varco;2012-12-11;64.7523;1;0;sma;0;usd
86;BBG004S681W1;MTSS;МТС;2012-12-11;274.37;0;1;sma;0;rub
87;BBG004S686W0;UPRO;Юнипро;2012-12-11;2.566;1;0;sma;0;rub
88;BBG000F5VVB6;NDAQ;Nasdaq;2012-12-11;32.425;0;1;sma;0;usd
89;BBG000FQRVM3;WAT;Waters;2012-12-11;100.38;0;1;sma;0;usd
90;BBG000BRXP69;EW;Edwards Lifesciences;2012-12-11;10.9;1;0;sma;0;usd
91;BBG000CGC1X8;QCOM;Qualcomm;2012-12-11;62.03;0;1;sma;0;usd
92;BBG000DM2BF3;SNBR;Sleep Number Corp;2012-12-12;25.055;1;0;sma;0;usd
93;BBG000RGM5P1;TEL;TE Connectivity;2012-12-13;46.41;0;1;sma;0;usd
94;BBG000DBKR53;SMTC;Semtech Corp;2012-12-14;33.44;0;1;sma;0;usd
95;BBG000DKCC19;TSN;Tyson Foods;2012-12-14;26.05;0;1;sma;0;usd
96;BBG000CF5097;GBX;Greenbrier Cos Inc;2012-12-14;20.1494;0;1;sma;0;usd
97;BBG000BMQCP6;KEX;Kirby Corp;2012-12-14;80.09;0;1;sma;0;usd
98;BBG000BGCQT9;CRS;Carpenter Technology Corp;2012-12-14;41.4759;1;0;sma;0;usd
99;BBG004730N88;SBER;Сбер Банк;2012-12-14;96.44;0;1;sma;0;rub
100;BBG000CL9VN6;NFLX;Netflix;2012-12-17;29.663;0;1;sma;0;usd
101;BBG000BCSST7;BA;BOEING;2012-12-17;98.75;0;1;sma;0;usd
102;BBG000BS1YV5;TTWO;Take-Two Interactive Software;2012-12-17;18.65;0;1;sma;0;usd
103;BBG000BPWXK1;NEM;Newmont Goldcorp Corporation;2012-12-17;29.17;1;0;sma;0;usd
104;BBG000BBNYF6;DRI;Darden Restaurants;2012-12-18;45.6309;1;0;sma;0;usd
105;BBG000BV4DR6;TER;Teradyne Inc;2012-12-19;16.6665;0;1;sma;0;usd
106;BBG000R7Z112;DAL;Delta Air Lines;2012-12-19;17.49;0;1;sma;0;usd
107;BBG000J2XL74;PM;Philip Morris;2012-12-19;87.75;1;0;sma;0;usd
108;BBG000N9MNX3;TSLA;Tesla Motors;2012-12-19;18.3;0;1;sma;0;usd
109;BBG000BK67C7;GD;General Dynamics;2012-12-20;79.42;0;1;sma;0;usd
110;BBG000BKZTP3;HOG;Harley-Davidson;2012-12-20;55.25;0;1;sma;0;usd
111;BBG000BSHJ96;SAFM;Sanderson Farms Inc;2012-12-20;66.8333;0;1;sma;0;usd
112;BBG000C22QV7;SEE;Sealed Air;2012-12-20;25.84;0;1;sma;0;usd
113;BBG000DN7P92;SYK;Stryker;2012-12-20;66.17;0;1;sma;0;usd
114;BBG000BSLZY7;SCHW;The Charles Schwab Corporation;2012-12-20;22.19;0;1;sma;0;usd
115;BBG000BNGBW9;NOK;Nokia;2012-12-21;4.13;0;1;sma;0;usd
116;BBG004S684M6;SIBN;Газпром нефть;2012-12-21;119.42;1;0;sma;0;rub
117;BBG000BCD3D5;ARW;Arrow Electronics Inc;2012-12-21;41.07;0;1;sma;0;usd
118;BBG000BP0KQ8;EA;Electronic Arts;2012-12-21;23.83;0;1;sma;0;usd
119;BBG000BCLYL9;MSM;MSC Industrial Direct Co Inc;2012-12-21;67.47;0;1;sma;0;usd
120;BBG000BKL348;GPC;Genuine Parts;2012-12-24;83.5;0;1;sma;0;usd
121;BBG000BNMHS4;MAN;ManpowerGroup Inc;2012-12-24;53.2657;0;1;sma;0;usd
122;BBG000BFDLV8;CERN;Cerner;2012-12-26;48.93;0;1;sma;0;usd
123;BBG000FQ7YR4;LYV;Live Nation Entertainment Inc;2012-12-26;16.08;0;1;sma;0;usd
124;BBG004TC84Z8;TRMK;Трубная Металлургическая Компания;2012-12-26;87.28;1;0;sma;0;rub
125;BBG000CL1FG7;BRKR;Bruker Corp;2012-12-26;16.5949;0;1;sma;0;usd
126;BBG000BVV7G1;TXN;Texas Instruments;2012-12-26;36.59;0;1;sma;0;usd
127;BBG001D8R5D0;XYL;Xylem;2012-12-27;29.08;0;1;sma;0;usd
128;BBG000JYP7L8;CE;Celanese Corp;2012-12-27;42.665;0;1;sma;0;usd
129;BBG000BHR1H9;SHI;Sinopec Shanghai Petrochemical;2012-12-27;21.14;0;1;sma;0;usd
130;BBG000BJBZ23;MKTX;MarketAxess Holdings Inc;2012-12-27;48.226;0;1;sma;0;usd
131;BBG000BMWKC5;KMT;Kennametal Inc;2012-12-28;35.2385;0;1;sma;0;usd
132;BBG000BS5DR2;RHI;Robert Half;2012-12-28;34.69;0;1;sma;0;usd
133;BBG000BPBVW5;CGNX;Cognex Corp;2012-12-31;12.6331;0;1;sma;0;usd
134;BBG000GW06J7;EBS;Emergent BioSolutions Inc;2012-12-31;16.5278;0;1;sma;0;usd
135;BBG000BCWWV0;CMCO;Columbus McKinnon Corp;2012-12-31;23.623;0;1;sma;0;usd
