;figi;ticker;share_name;datetime;last_price;buy_flag;strategy_id;profit;currency
0;BBG000DD3510;AIV;Apartment Investment & Management REIT;2022-07-11;7.11;1;sma_20_60;0;usd
1;BBG00XMJRPQ8;CPNG;Coupang, Inc.;2022-07-11;16.45;1;sma_20_60;0;usd
2;BBG000NVSBL7;NVAX;Novavax;2022-07-11;52.1;1;sma_20_60;0;usd
3;BBG000BX72V8;NTES;NetEase Inc;2022-07-11;89.18;0;sma_20_60;0;usd
4;BBG000C13CD9;CDNS;Cadence Design Systems;2022-07-11;152.99;1;sma_20_60;0;usd
5;BBG007HTCQT0;MOMO;Hello Group;2022-07-11;4.59;0;sma_20_60;0;usd
6;BBG007Z9V591;RGNX;REGENXBIO Inc;2022-07-11;30.37;1;sma_20_60;0;usd
7;BBG000QSXPZ9;LRN;Stride, Inc;2022-07-11;41.97;1;sma_20_60;0;usd
8;BBG001KS9450;TWOU;2U Inc;2022-07-11;10.37;1;sma_20_60;0;usd
9;BBG000BCJ161;SRPT;Sarepta Therapeutics Inc;2022-07-11;85.83;1;sma_20_60;0;usd
10;BBG00LWZDYB9;ESTC;Elastic NV;2022-07-11;73.83;1;sma_20_60;0;usd
11;BBG000C3W281;MASI;Masimo Corporation;2022-07-11;125.26;0;sma_20_60;0;usd
12;BBG003MSMCS6;GLPI;Gaming and Leisure Properties REIT;2022-07-11;49.44;1;sma_20_60;0;usd
13;BBG00W0L8GW3;OSH;Oak Street Health;2022-07-11;23.17;1;sma_20_60;0;usd
14;BBG001J2PFF5;ADPT;Adaptive Biotechnologies;2022-07-11;8.84;1;sma_20_60;0;usd
15;BBG000BQ4WF8;EXEL;Exelixis Inc;2022-07-11;21.57;1;sma_20_60;0;usd
16;BBG000BMGPW0;JJSF;J&J Snack Foods Corp;2022-07-11;135.31;1;sma_20_60;0;usd
17;BBG00FZYFVC5;DK;Delek US Holdings Inc;2022-07-11;23.59;0;sma_20_60;0;usd
18;BBG000S9XXB8;QNST;QuinStreet Inc;2022-07-11;10.96;1;sma_20_60;0;usd
19;BBG00DW3SZS1;DELL;Dell Technologies Inc;2022-07-11;42.9;0;sma_20_60;0;usd
20;BBG000BXQ7R1;ZNH;China Southern Airlines;2022-07-11;28.38;1;sma_20_60;0;usd
21;BBG000WG2LQ1;GKOS;Glaukos Corp;2022-07-11;49.19;1;sma_20_60;0;usd
22;BBG00ZKY1P71;GLBE;Global-E Online Ltd;2022-07-12;23.49;1;sma_20_60;0;usd
23;BBG000CTQBF3;SBUX;Starbucks Corporation;2022-07-12;82.57;1;sma_20_60;0;usd
24;BBG000BHYT80;SGMO;Sangamo Therapeutics;2022-07-12;4.61;1;sma_20_60;0;usd
25;BBG00BLYKS03;CRWD;Crowdstrike Holdings Inc;2022-07-12;181.0;1;sma_20_60;0;usd
26;BBG005F1DK91;GTHX;G1 Therapeutics Inc;2022-07-12;8.26;1;sma_20_60;0;usd
27;BBG0016MQ7C5;TPIC;TPI Composites Inc;2022-07-12;11.6;0;sma_20_60;0;usd
28;BBG000BDXCJ5;CNC;Centene Corporation;2022-07-12;91.35;1;sma_20_60;0;usd
29;BBG000BSBBP1;ROL;Rollins;2022-07-12;36.44;1;sma_20_60;0;usd
30;BBG005MX5GZ2;EDIT;Editas Medicine Inc;2022-07-12;17.06;1;sma_20_60;0;usd
31;BBG000BNPSQ9;INCY;Incyte;2022-07-12;80.44;1;sma_20_60;0;usd
32;BBG000KQY8Y7;CACI;CACI International;2022-07-12;284.87;1;sma_20_60;0;usd
33;BBG004S68BR5;NMTP;НМТП;2022-07-12;4.745;0;sma_20_60;0;rub
34;BBG000GRZDV1;STRA;Strategic Education Inc;2022-07-12;69.1;1;sma_20_60;0;usd
35;BBG00YV1J622;TSVT;2seventy bio;2022-07-12;13.4;1;sma_20_60;0;usd
36;BBG00X7L1C14;ASO;Academy Sports & Outdoors;2022-07-12;41.57;1;sma_20_60;0;usd
37;BBG004TC84Z8;TRMK;Трубная Металлургическая Компания;2022-07-12;75.88;1;sma_20_60;0;rub
38;BBG000D8KTN6;CWT;California Water Service;2022-07-12;56.46;1;sma_20_60;0;usd
39;BBG00R2JZG39;OI;O-I Glass;2022-07-12;13.39;0;sma_20_60;0;usd
40;BBG00K20GVD2;BTAI;BioXcel Therapeutics;2022-07-12;15.81;1;sma_20_60;0;usd
41;BBG000DR0RZ7;VXRT;Vaxart Inc;2022-07-12;3.88;1;sma_20_60;0;usd
42;BBG001J1BQ86;NTRA;Natera inc;2022-07-12;45.06;1;sma_20_60;0;usd
43;BBG000BJCDS3;FCNCA;First Citizens BancShares, Inc.;2022-07-12;693.51;1;sma_20_60;0;usd
44;BBG0064N0ZZ5;PAYC;Paycom Software Inc;2022-07-12;308.27;1;sma_20_60;0;usd
45;BBG000C3W281;MASI;Masimo Corporation;2022-07-12;133.6;1;sma_20_60;0;usd
46;BBG000BG4202;CPB;Campbell Soup;2022-07-12;48.42;1;sma_20_60;0;usd
47;BBG000R5XCX9;XPEL;XPEL;2022-07-12;57.26;1;sma_20_60;0;usd
48;BBG000VH7TZ8;MRKC;Россети Центр;2022-07-12;0.225;0;sma_20_60;0;rub
49;BBG000BCY878;BCPC;Balchem Corp;2022-07-12;129.01;1;sma_20_60;0;usd
50;BBG000FKJRC5;EL;The Estee Lauder Companies;2022-07-12;255.6;1;sma_20_60;0;usd
51;BBG000BNX3R4;MDU;MDU Resources Group, Inc.;2022-07-12;27.28;1;sma_20_60;0;usd
52;BBG000D5S4M0;PII;Polaris Industries Inc;2022-07-12;111.05;1;sma_20_60;0;usd
53;BBG002832GV8;PBF;PBF Energy Inc;2022-07-12;28.32;0;sma_20_60;0;usd
54;BBG0026ZJQX7;DOCS;Doximity, Inc.;2022-07-12;42.89;1;sma_20_60;0;usd
55;BBG002W2FT69;ABRD;АбрауДюрсо;2022-07-12;174.0;1;sma_20_60;0;rub
56;BBG0079T1PZ6;PJT;PJT Partners Inc.;2022-07-12;67.42;0;sma_20_60;0;usd
57;BBG00JN4FXG8;SLDB;Solid Biosciences;2022-07-12;0.69;1;sma_20_60;0;usd
58;BBG007BBS8B7;ZYNE;Zynerba Pharmaceuticals Inc;2022-07-13;1.16;1;sma_20_60;0;usd
59;BBG000N7QR55;PLTR;Palantir Technologies Inc;2022-07-13;10.05;1;sma_20_60;0;usd
60;BBG001J2QYS9;CARA;Cara Therapeutics Inc;2022-07-13;9.8;1;sma_20_60;0;usd
61;BBG000D0SMY8;CCOI;Cogent Communications;2022-07-13;61.95;1;sma_20_60;0;usd
62;BBG000BS7KS3;TAP;Molson Coors Brewing;2022-07-13;58.63;1;sma_20_60;0;usd
63;BBG000BW29L1;UNF;UniFirst Corp MA;2022-07-13;186.31;1;sma_20_60;0;usd
64;BBG00DR7LTG2;FLGT;Fulgent Genetics;2022-07-13;60.75;1;sma_20_60;0;usd
65;BBG000BR2B91;PFE;Pfizer;2022-07-13;50.79;1;sma_20_60;0;usd
