;figi;ticker;share_name;datetime;last_price;sell_flag;buy_flag;strategy_id;profit;currency
0;BBG00NPL9WH7;TPTX;Turning Point Therapeutics Inc;2022-06-23;75.34;0;1;sma;0;usd
1;BBG00B3T3HD3;AA;Alcoa Corporation;2022-06-27;44.89;1;0;sma;0;usd
2;BBG008NVB1C0;MNST;Monster Beverage;2022-06-27;97.34;0;1;sma;0;usd
3;BBG000BMW2Z0;KMB;Kimberly-Clark;2022-06-30;134.72;0;1;sma;0;usd
4;BBG000C734W3;REGN;Regeneron Pharmaceuticals;2022-06-30;615.36;1;0;sma;0;usd
5;BBG00KR691K8;CVET;Covetrus Inc;2022-06-30;20.73;0;1;sma;0;usd
6;BBG000BQWPC5;PCG;PG&E;2022-06-30;10.01;1;0;sma;0;usd
7;BBG000BCBYT2;VRNT;Verint Systems Inc;2022-06-30;42.89;1;0;sma;0;usd
8;BBG006473QX9;APLE;Apple Hospitality REIT;2022-06-30;14.71;1;0;sma;0;usd
9;BBG000DWG505;BRK.B;Berkshire Hathaway;2022-06-30;278.51;1;0;sma;0;usd
10;BBG001WWJTK5;PLAY;Dave & Buster's Entertainment Inc;2022-06-30;33.0;1;0;sma;0;usd
11;BBG000CQCCK6;WIRE;Encore Wire Corporation;2022-06-30;102.55;1;0;sma;0;usd
12;BBG000BB6KF5;MET;MetLife;2022-06-30;62.3;1;0;sma;0;usd
13;BBG000C3NTN5;HOLX;Hologic;2022-06-30;71.42;1;0;sma;0;usd
14;BBG000DSZTN6;CCJ;Cameco Corporation;2022-06-30;21.77;1;0;sma;0;usd
15;BBG000BYQ0B1;TTMI;TTM Technologies Inc;2022-06-30;11.92;1;0;sma;0;usd
16;BBG000BT7JW9;SNA;Snap-on;2022-07-01;199.82;1;0;sma;0;usd
17;BBG000BBXVK5;ICFI;ICF International, Inc.;2022-07-01;92.42;1;0;sma;0;usd
18;BBG000C7TF41;HAE;Haemonetics Corp;2022-07-01;65.73;0;1;sma;0;usd
19;BBG000BKGXQ4;GATX;GATX Corporation;2022-07-01;91.28;1;0;sma;0;usd
20;BBG000BQHGR6;OKE;ONEOK;2022-07-01;54.51;1;0;sma;0;usd
21;BBG000BKR1D6;GWW;WW Grainger;2022-07-01;473.64;1;0;sma;0;usd
22;BBG000BGCQT9;CRS;Carpenter Technology Corp;2022-07-01;27.06;1;0;sma;0;usd
23;BBG000QTFDQ4;ATKR;Atkore International Group Inc;2022-07-01;85.79;1;0;sma;0;usd
24;BBG000BF8CN3;ANDE;Andersons Inc;2022-07-05;30.75;1;0;sma;0;usd
25;BBG000BSBBP1;ROL;Rollins;2022-07-05;35.33;0;1;sma;0;usd
26;BBG000BF0K17;CAT;Caterpillar;2022-07-05;173.35;1;0;sma;0;usd
27;BBG000GQGJT4;THS;TreeHouse Foods Inc;2022-07-05;44.45;0;1;sma;0;usd
28;BBG005BT60Y8;NVEE;NV5 Global Inc;2022-07-05;115.55;1;0;sma;0;usd
29;BBG000BGD7W6;MAR;Marriott International;2022-07-05;140.8;1;0;sma;0;usd
30;BBG000FRVHB9;VTR;Ventas REIT;2022-07-05;50.25;1;0;sma;0;usd
31;BBG0018FQNS6;PCRX;Pacira BioSciences Inc;2022-07-06;52.9;1;0;sma;0;usd
